count
249;bongos;32
250;latin dance music;26
251;vibrant;124
252;techno;41
253;pop song;47
254;shaker;40
255;buoyant;75
256;simple melody;32
257;cheerful;154
258;foreign language;56
259;folk;24
260;regional music;27
261;infectious drumming;20
262;rich;23
263;synth pad;26
264;poignant;43
265;jazz music;22
266;groovy bass;62
267;dulcet;24
268;world music;32
269;atmospheric synthesiser;21
270;vocal backup;50
271;higher pitch;24
272;entertaining;22
273;no voices;177
274;happy mood;43
275;soft;69
276;minimalist;39
277;fun;55
278;childrenâ€™s song;20
279;compelling;20
280;electro;24
281;addictive;31
282;dance rhythm;59
283;mellow;121
284;classic rock;20
285;metal;33
286;acoustic guitars;23
287;viola;22
288;ballad;31
289;bells;31
290;club music;76
291;electronica;20
292;synthesiser arrangement;42
293;hypnotic;43
294;simple;36
295;scary;35
296;dark;28
297;sinister;42
298;spooky;27
299;marimba;22
300;experimental;27
301;unique;22
302;guitar rhythm;35
303;folk music;57
304;clapping;41
305;cheering;22
306;people talking;49
307;concert;33
308;vivacious;43
309;distorted electric guitar;29
310;violent;24
311;chaotic;31
312;male voices singing;33
313;heavy metal;45
314;boomy;23
315;rhythmic;25
316;dj;97
317;dance;83
318;jingle;23
319;simple tune;39
320;dangerous;21
321;danceable;45
322;religious;34
323;indian music;20
324;meditation music;29
325;pensive;30
326;string instruments;24
327;conductor;24
328;western classical music;33
329;static;33
330;electronic sounds;20
331;meditational;22
332;video game music;21
333;harpsichord;29
334;enigmatic;22
335;eccentric;21
336;trance music;23
337;melodious;32
338;muffled audio;26
339;haunting;27
340;alternative rock;27
341;violin harmony;26
342;mellifluous;26
343;slower tempo;25
344;tambourine beats;36
345;timpani;23
346;harmonica;31
347;pop music;40
348;xylophone;31
349;dance music;120
350;minimal instruments;29
351;peppy;27
352;"percussions";23
353;synthesizer;23
354;synth pop;36
355;brass instruments;22
356;wind instrument;41
357;animated;58
358;dance floor;23
359;calm;40
360;gentle;30
361;didgeridoo;37
362;smooth;23
363;adrenaline rush;25
364;funk;25
365;reggae;44
366;tambourine;73
367;people dancing;36
368;string instrument;32
369;emphatic;24
370;dance hits;20
371;romantic mood;24
372;pulsating;27
373;drum machine;41
374;digital drum;21
375;powerful;42
376;peaceful;26
377;chanting;21
378;crowd cheering;29
379;dj mixer;31
380;synth pads;21
381;brass section;42
382;grim;25
383;vibrations;26
384;male voice speaking;29
385;turntable;24
386;trombone;32
387;bass drum;26
388;chill;34
389;orchestral;23
390;solo;21
